 [INFO] 2016-05-14 19:08:02,630 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.088s]
 [INFO] 2016-05-14 19:08:02,724 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.094s]
 [INFO] 2016-05-14 19:08:02,824 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.099s]
 [INFO] 2016-05-14 19:08:02,913 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.089s]
 [INFO] 2016-05-14 19:08:02,997 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:08:03,081 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.084s]
 [INFO] 2016-05-14 19:08:03,230 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.148s]
 [INFO] 2016-05-14 19:08:03,372 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.141s]
 [INFO] 2016-05-14 19:08:03,455 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:08:03,538 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:08:03,630 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.091s]
